#,Company,Symbol,Weight,Price,Chg,% Chg
320,PPL Corporation,PPL,0.05,34.44,0.14,0.40
321,Archer Daniels Midland,ADM,0.05,52.87,0.05,0.09
322,Tyler Technologies,TYL,0.05,587.76,7.68,1.32
323,Supermicro,SMCI,0.05,42.39,1.50,3.67
324,SBA Communications,SBAC,0.05,234.62,0.50,0.21
325,Atmos Energy,ATO,0.05,156.74,0.37,0.24
326,Dollar General,DG,0.05,112.18,-2.77,-2.41
327,Veralto,VLTO,0.05,99.57,1.12,1.14
328,International Paper,IP,0.05,46.65,0.56,1.22
329,Synchrony Financial,SYF,0.05,64.68,1.43,2.27
330,Mettler Toledo,MTD,0.05,"1,183.71",20.10,1.73
331,Dover Corporation,DOV,0.05,179.12,1.59,0.90
332,Texas Pacific Land Corporation,TPL,0.04,"1,047.84",-2.16,-0.21
333,Fortive,FTV,0.04,70.85,0.53,0.75
334,Cboe Global Markets,CBOE,0.04,228.59,-1.53,-0.66
335,Huntington Bancshares,HBAN,0.04,16.40,0.32,2.02
336,Hewlett Packard Enterprise,HPE,0.04,18.20,0.39,2.17
337,CenterPoint Energy,CNP,0.04,36.53,0.25,0.70
338,Church & Dwight,CHD,0.04,96.24,-0.72,-0.74
339,Eversource Energy,ES,0.04,63.85,0.48,0.76
340,FirstEnergy,FE,0.04,40.60,0.28,0.70
341,Steris,STE,0.04,237.97,1.06,0.45
342,CDW,CDW,0.04,177.03,3.26,1.88
343,Northern Trust,NTRS,0.04,119.32,-1.50,-1.24
344,Teledyne Technologies,TDY,0.04,494.94,3.94,0.80
345,Corpay,CPAY,0.04,327.01,5.16,1.60
346,Cincinnati Financial,CINF,0.04,147.46,0.22,0.15
347,HP Inc.,HPQ,0.04,24.50,0.59,2.45
348,ON Semiconductor,ON,0.04,54.65,1.48,2.79
349,Smurfit WestRock,SW,0.04,43.54,1.11,2.63
350,Jabil,JBL,0.04,210.93,2.58,1.24
351,LabCorp,LH,0.04,260.37,-0.67,-0.26
352,Insulet Corporation,PODD,0.04,307.58,-0.09,-0.03
353,Western Digital,WDC,0.04,61.88,1.50,2.49
354,Hubbell Incorporated,HUBB,0.04,401.80,7.11,1.80
355,"NVR, Inc.",NVR,0.04,"7,331.48",-7.69,-0.10
356,Expedia Group,EXPE,0.04,167.70,1.88,1.13
357,NetApp,NTAP,0.04,105.72,1.45,1.39
358,Amcor,AMCR,0.04,9.23,0.15,1.71
359,PulteGroup,PHM,0.04,105.31,0.46,0.44
360,Devon Energy,DVN,0.04,32.79,-0.04,-0.12
361,Ulta Beauty,ULTA,0.04,467.24,-4.32,-0.92
362,CMS Energy,CMS,0.04,70.01,0.14,0.20
363,Invitation Homes,INVH,0.04,34.12,0.10,0.29
364,T. Rowe Price,TROW,0.04,94.81,0.82,0.87
365,Regions Financial Corporation,RF,0.04,23.04,0.40,1.75
366,Dollar Tree,DLTR,0.04,99.01,-1.50,-1.49
367,Waters Corporation,WAT,0.04,346.95,4.12,1.20
368,Coterra,CTRA,0.04,27.03,0.32,1.19
369,PTC Inc.,PTC,0.04,168.54,2.08,1.25
370,Lennox International,LII,0.04,566.42,2.24,0.40
371,McCormick & Company,MKC,0.04,74.37,-0.52,-0.70
372,Quest Diagnostics,DGX,0.04,178.61,-1.11,-0.62
373,Edison International,EIX,0.04,51.34,1.18,2.35
374,Tyson Foods,TSN,0.04,55.35,0.23,0.43
375,Dow Inc.,DOW,0.04,27.63,0.76,2.83
376,Leidos,LDOS,0.04,151.07,0.40,0.27
377,Williams-Sonoma,WSM,0.04,157.49,-0.40,-0.25
378,Weyerhaeuser,WY,0.04,26.69,0.11,0.43
379,International Flavors & Fragrances,IFF,0.04,75.46,1.70,2.31
380,Global Payments,GPN,0.04,78.50,2.15,2.82
381,Steel Dynamics,STLD,0.04,128.95,1.52,1.19
382,NiSource,NI,0.04,40.62,0.11,0.27
383,Loews Corporation,L,0.03,90.68,0.01,0.02
384,Citizens Financial Group,CFG,0.03,43.37,0.87,2.04
385,LyondellBasell,LYB,0.03,58.37,1.03,1.79
386,Erie Indemnity,ERIE,0.03,354.67,-2.20,-0.62
387,Biogen,BIIB,0.03,126.08,1.32,1.06
388,KeyCorp,KEY,0.03,16.83,0.34,2.04
389,Essex Property Trust,ESS,0.03,285.70,-0.10,-0.03
390,Zimmer Biomet,ZBH,0.03,92.19,0.69,0.75
391,Southwest Airlines,LUV,0.03,31.78,-0.10,-0.31
392,"Tapestry, Inc.",TPR,0.03,87.15,1.40,1.64
393,Gen Digital,GEN,0.03,29.15,0.34,1.18
394,Halliburton,HAL,0.03,20.95,0.18,0.84
395,Trimble Inc.,TRMB,0.03,73.51,0.80,1.11
396,Principal Financial Group,PFG,0.03,78.21,0.88,1.13
397,Mid-America Apartment Communities,MAA,0.03,149.54,-0.62,-0.41
398,Packaging Corporation of America,PKG,0.03,190.14,1.44,0.76
399,"F5, Inc.",FFIV,0.03,295.88,0.79,0.27
400,Hormel Foods,HRL,0.03,30.70,-0.15,-0.50
401,Genuine Parts Company,GPC,0.03,121.47,0.18,0.15
402,Pentair,PNR,0.03,100.80,1.24,1.25
403,Ralph Lauren Corporation,RL,0.03,273.34,2.78,1.03
404,FactSet,FDS,0.03,429.70,-7.33,-1.68
405,Snap-on,SNA,0.03,308.32,-0.01,-0.00
406,West Pharmaceutical Services,WST,0.03,220.71,4.01,1.85
407,Evergy,EVRG,0.03,68.57,0.10,0.15
408,Alliant Energy,LNT,0.03,61.32,-0.02,-0.04
409,First Solar,FSLR,0.03,146.84,2.17,1.50
410,Molina Healthcare,MOH,0.03,290.06,-1.08,-0.37
411,Ball Corporation,BALL,0.03,56.66,-0.02,-0.04
412,Expeditors International,EXPD,0.03,114.53,0.14,0.12
413,Domino's,DPZ,0.03,457.65,0.03,0.01
414,Baxter International,BAX,0.03,30.44,0.45,1.49
415,Jacobs Solutions,J,0.03,129.07,0.81,0.63
416,CF Industries,CF,0.03,95.08,-1.45,-1.51
417,Zebra Technologies,ZBRA,0.03,299.26,3.01,1.02
418,Deckers Brands,DECK,0.03,101.22,0.78,0.78
419,Clorox,CLX,0.03,121.94,-0.36,-0.29
420,Aptiv,APTV,0.03,67.89,1.38,2.07
421,Everest Group,EG,0.03,342.78,0.96,0.28
422,Kimco Realty,KIM,0.03,21.37,0.14,0.68
423,Best Buy,BBY,0.03,68.35,1.98,2.98
424,Teradyne,TER,0.03,90.03,2.67,3.06
425,Hologic,HOLX,0.03,64.72,0.29,0.45
426,TKO Group Holdings,TKO,0.03,175.06,-0.47,-0.27
427,J.B. Hunt,JBHT,0.03,144.17,1.48,1.04
428,Avery Dennison,AVY,0.03,179.98,0.60,0.34
429,Textron,TXT,0.03,77.92,0.42,0.54
430,Omnicom Group,OMC,0.03,71.42,-0.28,-0.38
431,Cooper Companies The,COO,0.03,69.86,0.34,0.49
432,"UDR, Inc.",UDR,0.02,41.03,-0.36,-0.86
433,Masco,MAS,0.02,63.69,0.74,1.18
434,Incyte,INCY,0.02,68.66,1.40,2.08
435,IDEX Corporation,IEX,0.02,175.52,2.79,1.62
436,Align Technology,ALGN,0.02,182.76,-0.66,-0.36
437,Jack Henry & Associates,JKHY,0.02,181.13,0.10,0.06
438,Regency Centers,REG,0.02,72.21,-0.06,-0.08
439,Paycom,PAYC,0.02,233.55,0.58,0.25
440,Builders FirstSource,BLDR,0.02,118.35,-0.78,-0.65
441,Alexandria Real Estate Equities,ARE,0.02,75.37,2.45,3.35
442,Solventum,SOLV,0.02,74.13,0.88,1.20
443,Fox Corporation Class A,FOXA,0.02,56.03,-0.05,-0.09
444,Brown–Forman,BF.B,0.02,26.61,0.13,0.48
445,Allegion,ALLE,0.02,143.83,1.38,0.97
446,Camden Property Trust,CPT,0.02,115.82,-0.44,-0.38
447,Franklin Resources,BEN,0.02,23.33,0.44,1.92
448,Healthpeak Properties,DOC,0.02,17.62,0.13,0.71
449,Juniper Networks,JNPR,0.02,36.41,0.11,0.29
450,Nordson Corporation,NDSN,0.02,214.51,1.48,0.70
451,Fox Corporation Class B,FOX,0.02,51.48,0.08,0.16
452,Akamai Technologies,AKAM,0.02,79.99,0.70,0.89
453,Revvity,RVTY,0.02,96.47,1.52,1.60
454,"BXP, Inc.",BXP,0.02,71.42,0.43,0.61
455,Mosaic Company The,MOS,0.02,35.63,-0.41,-1.13
456,Bunge Global,BG,0.02,83.94,-0.22,-0.26
457,Universal Health Services,UHS,0.02,173.40,-0.12,-0.07
458,C.H. Robinson,CHRW,0.02,93.94,-0.01,-0.01
459,Pool Corporation,POOL,0.02,296.28,2.32,0.79
460,Skyworks Solutions,SWKS,0.02,74.10,1.75,2.42
461,Host Hotels & Resorts,HST,0.02,15.85,0.08,0.48
462,Pinnacle West,PNW,0.02,89.97,0.32,0.36
463,Viatris,VTRS,0.02,8.98,0.13,1.41
464,DaVita,DVA,0.02,139.37,3.03,2.22
465,CarMax,KMX,0.02,68.79,1.62,2.41
466,J.M. Smucker Company The,SJM,0.02,97.52,0.19,0.19
467,Moderna,MRNA,0.02,26.82,1.15,4.50
468,Stanley Black & Decker,SWK,0.02,66.46,0.80,1.21
469,Conagra Brands,CAG,0.02,21.54,-0.07,-0.35
470,Globe Life,GL,0.02,123.34,1.23,1.01
471,Assurant,AIZ,0.02,199.51,-0.17,-0.09
472,Hasbro,HAS,0.02,71.60,1.00,1.41
473,Walgreens Boots Alliance,WBA,0.02,11.40,0.04,0.40
474,Molson Coors Beverage Company,TAP,0.02,48.57,0.52,1.08
475,EPAM Systems,EPAM,0.02,172.77,4.75,2.83
476,LKQ Corporation,LKQ,0.02,37.67,0.31,0.83
477,Campbell Soup Company,CPB,0.02,32.15,0.14,0.42
478,News Corp Class B,NWS,0.02,33.48,0.30,0.91
479,Wynn Resorts,WYNN,0.02,90.35,0.65,0.73
480,MGM Resorts,MGM,0.02,34.14,0.88,2.66
481,Dayforce,DAY,0.02,57.64,0.48,0.83
482,A. O. Smith,AOS,0.02,64.77,0.63,0.98
483,Huntington Ingalls Industries,HII,0.02,232.66,-4.44,-1.87
484,Henry Schein,HSIC,0.02,72.80,0.91,1.26
485,Interpublic Group of Companies The,IPG,0.02,24.37,-0.06,-0.24
486,Eastman Chemical Company,EMN,0.02,76.93,1.92,2.56
487,Norwegian Cruise Line Holdings,NCLH,0.02,19.76,1.16,6.24
488,Federal Realty Investment Trust,FRT,0.02,96.51,0.13,0.13
489,Paramount Global,PARA,0.02,12.35,0.03,0.20
490,MarketAxess,MKTX,0.02,220.06,-0.75,-0.34
491,News Corp Class A,NWSA,0.02,29.06,0.20,0.69
492,Generac,GNRC,0.01,134.52,0.99,0.74
493,Bio-Techne,TECH,0.01,49.94,0.64,1.29
